job_title,category,description,summary_hourly,summary_salary,country,currency,rating,rating_count,gender_responses,male_count,female_count
Data Warehouse Manager,11-3020.00 - Computer and Information Systems Managers,"Data warehouse managers oversee the storage of data in facilities, analyzing this data as needed for departments within their organization. They are primarily responsible for evaluating data using metrics related to performance and usage, as well as analyzing data load and monitoring job usage of data. The data warehouse manager is given various data warehouse tasks by upper management, department chairs and other parties within their organization; they must ensure data systems are fully functional to ensure they can provide these stakeholders with necessary data. 
Data warehouse managers also conduct process automation, monitor operations, and develop stable data solutions. They may be in charge of identifying potential risks relating to data storage and transfer, as well as working to mitigate these risks as needed. The data warehouse manager should work to develop standard policies and systems surrounding the data warehouse. Additionally, data warehouse managers must keep up to date with the latest data warehouse developments in order to continuously improve their organization's systems. 
This is a management position that generally requires previous supervisory experience in addition to experience in a relevant role. At least a bachelor's degree in engineering or another relevant field is needed as well. ",,"The average pay for a Data Warehouse Manager is $129,849 per year.",US,USD,3.33,3.0,16.0,9.0,7.0
Database Administration (DBA) Manager,11-3020.00 - Computer and Information Systems Managers,"A database administration (DBA) manager is a key player in the maintenance of a company’s data infrastructure. They implement and maintain databases, as well as work with the many other information technology professionals in their organization to ensure the security, availability, and speed of a company’s databases. They may also work with other stakeholders in the company’s information architecture, such as upper management and department heads. Most database administration managers work with the data of a single company, though some operate in a consulting role. 
DBA managers generally work in an office environment. Because databases are often most heavily used during normal business hours, implementation of updates and changes to those data stores must generally be performed overnight or during weekends. However, other aspects of the database administration manager’s work may be performed during business hours, such as backups, data restores, load balancing, and creating new users and roles.
Generally, DBAs must have a bachelor’s degree in information technology, computer science or a related field; however, experience may be substituted for education. Depending on the database software used by their company, a DBA may be required to be certified in any number of solutions such as Oracle and Microsoft SQL Server. Employers may also prefer certifications in associated software and hardware such as operating systems, server hardware, backup hardware, and virtual machine software. 
",The average pay for a Database Administration (DBA) Manager is $29.16 per hour.,"The average pay for a Database Administration (DBA) Manager is $110,129 per year.",US,USD,4.07,16.0,48.0,30.0,16.0
Database Administrator (DBA),15-1060.00 - Database Administrators,"A database administrator (DBA) is an IT professional who ensures that the software used to manage a database is properly maintained to allow rapid access when needed. Because constant access, searches, traffic are likely to have a damaging effect on any company database, the DBA works to maintain the efficiency of the servers.  He or she also will typically work to ensure data security, coordinating with an IT security professional or team in larger companies to help maintain the integrity of sensitive business data.
One of the main jobs of a database administrator is to keep a company's information accessible in an efficient manner. Many companies require that data be available via cloud servers so that it may be accessed at any time. In reality, a DBA houses only a small percentage of data in a cloud setting, due to the expense and security issues created when doing so. However, the DBA ensures that cloud access to data can be accomplished quickly and efficiently.
To work as a database administrator, a person typically will need a bachelor's degree in computer science, an associate's degree in database administration, or a similar degree. Many companies will also require a DBA candidate to have a background in IT work on database administration teams. Typically, an administrator works regular business hours during the week, but many companies require a DBA to be available on call at all times, in case of a system emergency.
",The average pay for a Database Administrator (DBA) is $24.30 per hour.,"The average pay for a Database Administrator (DBA) is $77,982 per year.",US,USD,4.07,257.0,800.0,494.0,299.0
Database Analyst,15-1060.00 - Database Administrators,"Database analysts - also referred to as database administrators - review, evaluate, design and implement databases. These analysts' main duties include database administration, which involves responding to user needs by refining and developing databases. Once the database is established, analysts run periodic testing to ensure correct operation of the system. Database analysts are also responsible for database recovery and back up.  
Quality assurance is essential for organizations, and database analysts check quality and ensure issues are handled properly to maintain data integrity.
Database analysts are also responsible for data security, and they are often required to submit background checks and other selective tests. Database analysts generally work in an office setting during regular business hours. They often work closely with related team members and report to their department manager.  
A bachelor’s degree in information technology, computer science, software engineering, or a related field is often needed for this position, although employers may require a different level of education (such as an associate's degree). Previous experience is generally preferred. Programming experience is a must for these candidates along with demonstrated ability to take technical complex information.  In-depth knowledge of computer systems, along with server management experience, might also be necessary for these positions.
",The average pay for a Database Analyst is $25.62 per hour.,"The average pay for a Database Analyst is $67,709 per year.",US,USD,3.85,20.0,62.0,36.0,26.0
Database Analyst/Programmer,15-1050.00 - Computer Systems Analysts,"Database analysts/programmers are responsible for programming and analyzing databases for their organization. They are in charge of programming automating scripts that provide regular maintenance to company databases, analyzing business requirements to suggest improvements, providing end-user support, and responding to ticket requests as needed. Additionally, they interact with other information technology staff and department managers.  Database analysts/programmers create database mappings to transform data from multiple systems, take part in setting up connectivity to data sources, modify database packages to fit company and project requirements, and create custom databases to achieve all organizational goals. 
Database analysts/programmers optimize databases by developing scripts and code to increase network performance and overall productivity. They must maintain accurate documentation of database features and create detailed reports based on their findings. Database analysts/programmers provide service to database software by creating scripts and patches. They are responsible for installing and updating database designs, running and troubleshooting database applications, using a personal computer to modify and oversee existing databases, and improving database performance by analyzing existing database values and processes. 
A bachelor's degree in database analysis, software programming, computer science, or a related field is required for this position. In addition, previous experience in a database-managing capacity, as well as relevant certifications, are generally required or preferred. Database analysts/programmers must be organized individuals that pay strong attention to detail and possess excellent communication skills. They should work well on their own with minimal supervision, as well as in a team environment with other analysts/programmers.
",The average pay for a Database Analyst/Programmer is $28.44 per hour.,"The average pay for a Database Analyst/Programmer is $80,363 per year.",US,USD,4.14,14.0,35.0,20.0,15.0
Database Architect,15-1080.00 - Network Systems and Data Communications Analysts,"Database architects are responsible for designing, implementing, and testing database features for their organization. They are in charge of developing innovative database solutions that increase company productivity and minimize downtime.  Their main responsibilities include maintaining database and automated processes and interacting with other information technology specialists, sharing important information related to database concerns and constrains. Other tasks performed by database architects include developing database solutions for performance and scalability, training and mentoring junior database developers on proprietary software and scripts, and optimizing database performance with tuning tasks, and query optimization
Database architects also keep database backup plans to avoid data loss and conduct regular performance and integrity tests, as well as write detailed reports based on the results. Database architects recommend quality changes to existing database designs based on their observations. They use a personal computer to create databases, modify existing database designs, and verify the correct functioning and integrity of database values. 
A bachelor's degree in database design, computer science, information technology, or a similar field is required for this position. In addition, previous experience in a database-handling capacity - as well as industry certifications - are often required or preferred. Database architects should be proficient with database programming languages to create scripts. They must be organized individuals that can work in a fast-paced environment and multitask on several projects at the same time. Additionally, these professionals must work well in a team environment with other database architects to implement features and achieve all company objectives in a timely manner. They should also work effectively by themselves with minimal supervision.",The average pay for a Database Architect is $75.54 per hour.,"The average pay for a Database Architect is $124,613 per year.",US,USD,4.13,16.0,47.0,40.0,6.0
Database Coordinator,15-1060.00 - Database Administrators,"Database coordinators are generally responsible for clinical databases in a range of industries. They commonly oversee the positions of conduct-screening, data entry, and quality assurance and provide updated inventory of all data that is entered into the database on a regular basis.
Depending on the employer, the types of quality control checks and data entry methods can vary. They may also be responsible for ensuring that the entire database is in order and organized so that employees within the organization can access important information. Database coordinators should also be able to utilize different types of database programs, as some companies change or update their programs each year.
A strong background in computer science and information is highly beneficial for this position and a bachelor’s degree in computer science or a related field is generally required, and some employers may require a master's degree. Reasoning and mathematical skills are also beneficial, as are communication skills to portray and explain data in understandable ways to employees and even the general public in some cases.",The average pay for a Database Coordinator is $20.19 per hour.,"The average pay for a Database Coordinator is $46,891 per year.",US,USD,4.04,24.0,63.0,48.0,12.0
Database Design Administrator,15-1060.00 - Database Administrators,"A database design administrator is typically a key employee in an organization's information technology department. He or she has the responsibilities of designing or materially modifying the way the company handles, stores, and accesses data. 
The database design administrator's tasks can include assessing hardware needs and upgrades, implementing database storage and access software, and setting up security and access protocols for the company. One of the first things a database design administrator will do is to assess the hardware infrastructure and assess needs of the company. He or she must determine a long-term plan for the amount of data and bandwidth requirements for the organization and make any upgrades as necessary. The design administrator works to create and continually modify the front end for user access. Part of the administration process of the job revolves around the constant changes that can occur with company data assets. They typically need constant reorganization and categorization. These administrators frequently create ongoing maintenance hurdles and new challenges to integrate into an accessible and workable asset.
Most companies will not consider an employee for this position without a degree in database administration or some other related IT discipline from a four-year college. Most persons in this field also will need practical experience in the database management field at some lower level of responsibility. A database design administrator typically works regular business hours in a tech office environment.",,"The average pay for a Database Design Administrator is $80,000 per year.",US,USD,,,4.0,4.0,
Database Developer,15-1030.00 - Computer Software Engineers,"Database developers work in the IT department and are responsible for the development and maintenance of databases while following specific coding standards. They will often analyze current database procedures in order to develop comprehensive solutions to modernize, streamline and/or eliminate inefficient coding. This involves monitoring, troubleshooting and debugging databases to solve performance issues. Database developers also create ad-hoc scripts and cleanup scripts as needed. In addition, they deliver written reports reviewing current coding and make recommendations on changes that should be made to enhance performance. They also often collaborate with other members of a development team in order to give and receive feedback, and to develop the best solutions and procedures for the business.  
Most employers require database developers to have previous experience with database development, data analysis and unit testing. Experience with SQL and development techniques is almost always required, in addition to a bachelor's degree in computer science or a related field. Appropriate levels of work experience may sometimes be considered an appropriate substitute for a degree. Database developers should be highly organized, with skills that include excellent written and verbal communication, problem solving, data analysis and the ability to work alone or with others as needed. Most employers consider knowledge of how to work with multi-database environments integral to their database development position, so prior experience is a plus. Outside technologies and development programs that are used vary depending on the company, so the ability to pick up technical skills quickly and adapt to new technologies as they are introduced is imperative.",The average pay for a Database Developer is $35.16 per hour.,"The average pay for a Database Developer is $82,592 per year.",US,USD,3.8,53.0,153.0,110.0,42.0
Database Engineer,15-1080.00 - Network Systems and Data Communications Analysts,"A database engineer creates and manages databases for a company or organization. This involves designing and building databases to suit a purpose.  The database engineer must also install and configure the database. The database engineer must make sure that the databases are secure and that they function properly. 
Once a database is implemented, the database engineer must carry out constant testing and monitoring to make sure that the database is functioning as it should. This often requires troubleshooting, so problem-solving skills are important. When updates need to be implemented, the database engineer needs to coordinate this so that it can be carried out in the least disruptive way. This job requires extensive experience with administering and providing support for databases. Security is not always the only issue that is important. Another thing that the database engineer may have to consider is usability for end users. The database engineer must sometimes create a database that is easy for end users to enter data into. The database engineer may have multiple projects to manage, so it is important to be able to work independently, to adhere to time constraints, and to work well under pressure even when multitasking is needed. At the same time, teamwork skills are also essential in order to ensure the smooth implementation of databases. Advanced experience with Oracle and SQL is usually necessary. 
A bachelor’s degree in computer science or a similar field is often needed.  Some positions also require a master’s degree. However, some positions only require an associate’s degree in conjunction with adequate experience. The job usually involves working in an office environment. Some travel may be necessary in order to meet with various departments or clients.",The average pay for a Database Engineer is $25.49 per hour.,"The average pay for a Database Engineer is $92,315 per year.",US,USD,3.96,26.0,89.0,68.0,21.0
Database Manager,15-1060.00 - Database Administrators,"Database managers serve as an essential part of the management of large databases. They typically manage many projects and help with the design and physical implementation of storage hardware and maintenance. Database managers specialize in the diagnosis and repair of problems that occur in databases. They may work with various types of databases that use software such as MySQL and Oracle.
The allocation of resources is important as a database manager because there can potentially be shifts and moves of large chunks of data to different storage platforms and software systems. Since data managers manage fragile and sensitive data, it is important that they maintain high ethical standards and conduct themselves professionally. Database managers often work in a standard office environment during regular business hours. Because maintaining a database is a continuous job, database managers may be on call in the event of an emergency or loss of service.
Database managers work with the technical staff that is directly responsible with keeping the database up and running; they also interact with users that use software programs to store data in the databases. Database managers must be willing to lead and direct individuals with specific work tasks and provide guidance and training to lower-level staff.  
Prospective database managers typically need a bachelor’s degree in information technology and a minimum of five years in a database leadership position. Along with this educational background, individuals must possess knowledge of different database software. 
",The average pay for a Database Manager is $21.93 per hour.,"The average pay for a Database Manager is $62,314 per year.",US,USD,3.61,58.0,156.0,104.0,50.0
Delphi Developer / Programmer,15-1030.00 - Computer Software Engineers,"Delphi developers are primarily responsible for creating and editing software using the delphi programming language. 
General daily tasks of delphi programmers include: debugging software; designing small- and large-scale software and programs; consulting clients; utilizing frameworks to increase the speed of projects; researching and keeping up with the latest programming trends; working with databases; making server-side applications; working both alone and on teams in order to solve problems; using model-viewer-controller patterns to create durable software; editing current software to increase its shelf life; and assisting clients with newly-created software and ensuring they understand it.
Delphi developers generally work in office settings during traditional weekly business hours, and are usually at computers or attending meetings with other programmers. In some cases, these developers may be able to telecommute and work from home. 
Candidates for the position should have: a bachelor's or master's degree in computer science or information systems; years of experience in programming; experience in working on large projects from start to finish; and, of course, extensive knowledge of the delphi programming language",,"The average pay for a Delphi Developer / Programmer is $57,500 per year.",US,USD,4.0,1.0,2.0,2.0,
Desktop Support Manager,15-1040.00 - Computer Support Specialists,"Desktop support managers are responsible for the smooth operation of a team of workers whose primary function is to help customers resolve issues with their desktop computers. As such, they should have considerable experience with personnel management, as well as comprehensive knowledge of computers and their many possible malfunctions. Generally, desktop support managers are required to have at least a Bachelor's degree in an information technology-related field, although some in this position reach it in another way, perhaps by starting with a help desk position.

Generally speaking, most desktop support managers work in indoor office environments, and often oversee a group of workers in a cubicle environment. While many enjoy standard (first-shift) 40-hour work weeks, some companies operate in a 24-hour capacity, so it is possible that such a manager could work second- or even third-shift hours.

Day-to-day responsibilities of a desktop support manager may include scheduling staff, developing manuals or best practices for desktop support teams to follow, designing standardized builds for desktop machines, and even training new employees on requisite software. There are dozens of different packages available to help IT staff track and deliver service to users; as such, the manager is often required to be knowledgeable of, or even certified in, whichever software package their company has chosen for the function.

If hired early enough in a company’s inception phase (or if they are fortunate enough to work there via expansions), desktop support managers will likely be called upon to help spec out desktop machines for various levels of users within a company. And, while their work is largely mental, there may also be occasions where they must roll up their sleeves and help with the actual physical deployment of desktop machines.",The average pay for a Desktop Support Manager is $30.99 per hour.,"The average pay for a Desktop Support Manager is $81,603 per year.",US,USD,3.82,28.0,74.0,61.0,11.0
Desktop Support Specialist,15-1040.00 - Computer Support Specialists,"Desktop support specialists are in charge of providing excellent end user experience, which includes resolving potential or actual technical issues. One of their main duties is troubleshooting different software packages, hardware devices, and other peripherals. Additionally, desktop support specialists configure computer systems according to company policies. They must follow strict privacy regulations when it comes to handling sensitive data inside company drives. They help diagnose problems and follow up to ensure their resolution. Additional tasks include performing regular maintenance and updating operating systems while minimizing downtime and increasing productivity. They also help with data back-up duties in case of data corruption. These professionals generally work in an office environment with other specialists and use a personal computer as one of their main tools to report their progress and research possible solutions. 
Desktop support specialists must work well with other specialists, including with sharing company resources. They need to work effectively on their own as well and be detail oriented. They must be able to multitask and work under deadlines to complete support tickets. They should have excellent interpersonal skills, with the ability to communicate technical problems and instructions to end users in terms that are easy to understand. 
A bachelor's degree in information technology or a related field is necessary for this position. Additional industry certifications and customer oriented working experience may be preferred. They should have advanced knowledge of different operating systems and network solutions.",The average pay for a Desktop Support Specialist is $24.11 per hour.,"The average pay for a Desktop Support Specialist is $57,314 per year.",US,USD,3.55,94.0,249.0,209.0,35.0
Development Operations (DevOps) Engineer,15-1030.00 - Computer Software Engineers,"Development operations (DevOps) engineers typically work full-time in a company's headquarters and are responsible for the production and ongoing maintenance of a website platform. They also manage cloud infrastructure and system administration and work with teams to identify and repair issues on an as-needed basis, so strong communication skills are important in this position. They are generally expected to work well under pressure with tight deadlines for certain tasks, and a proactive demeanor and friendly disposition are also helpful.
DevOps engineers may work with junior and senior engineers, project managers, and executives, as well as administrative assistants, executive assistants, and a receptionist. Hours can be flexible, though they typically work during regular weekly business hours, and they are not usually responsible for customer/client interaction or supervising junior employees.
A bachelor's degree in computer science or a related field is generally required for this position, and many employers prefer those who have a master's degree and at least three to five years of work experience in the field, including experience with at least two of the following: CSS, HTTP, SSL, HTML, XML, Java, Linux, Amazon Web Services (AWS), DNS, NoSQL technologies, and web app development.",The average pay for a Development Operations (Devops) Engineer is $50.19 per hour.,"The average pay for a Development Operations (Devops) Engineer is $104,529 per year.",US,USD,3.95,366.0,1149.0,1027.0,108.0
Development Operations (DevOps) Engineering Manager,11-3020.00 - Computer and Information Systems Managers,,The average pay for a Development Operations (Devops) Engineering Manager is $91.90 per hour.,"The average pay for a Development Operations (Devops) Engineering Manager is $130,641 per year.",US,USD,3.67,3.0,13.0,13.0,
Development Operations (DevOps) Manager,11-3020.00 - Computer and Information Systems Managers,"Development operations (DevOps) managers help design and implement staff-development strategies and should have prior experience in leading teams of staff, as they may supervise a range of employees within the organization. 
DevOps managers occasionally assist in the hiring process and evaluate prospective candidates, and they must develop training and materials for new and existing workers according to strategic and corporate guidelines. They also oversee current operations within the company to ensure compliance with goals and policies.
These managers are also responsible for generating and overseeing the company's budget and its allocation to the workforce, infrastructure development, investments in hardware, and improving training processes. Leadership skills are important in this position, as they must direct and motivate teams of staff to achieve goals and objectives, and they also prepare periodic reports on how their projects have contributed to company performance and operations.
These managers work primarily in offices to monitor data and develop strategies to improve company operations, and they occasionally meet with department leaders or spend time on the floor to better understand the workforce and current state of operations.",,"The average pay for a Development Operations (Devops) Manager is $132,371 per year.",US,USD,3.22,10.0,26.0,22.0,3.0
Development Operations Engineer,15-1030.00 - Computer Software Engineers,"Development operations engineers have in-depth knowledge of operational issues and technology and are tasked with studying and observing functioning systems and recording the performance results. They are also responsible for configuring operational priorities, determining project objectives, and developing operations solutions by defining, studying, estimating, and screening alternative solutions.
These engineers must anticipate operational problems by studying operating targets, modes of operations, unit limitations, and monitoring unit performance. They typically work in an office setting and may also work with other engineers on particular projects.
A bachelor's degree in engineering may be a minimum requirement for this position, and some employers require a master's degree. Hours can vary greatly, as these engineers may be needed at different times of day or night when problems arise. Development operations engineers typically work long hours with on-call being occasionally necessary for some positions.",,"The average pay for a Development Operations Engineer is $92,500 per year.",US,USD,2.0,1.0,6.0,6.0,
Digital Producer,15-1080.00 - Network Systems and Data Communications Analysts,"A digital producer's main responsibility is the creation of digital media for projects; this may include web design, music, videos, and other media. The producer is responsible for delivering the client's desired product and making adjustments based on client feedback. Digital producers must be able to prioritize tasks and manage day-to-day operations to ensure that deadlines are met. They are also responsible for assessing risks and proactively addressing potential issues through problem solving; additionally, they must work as part of a team to implement solutions to issues. 
A bachelor's degree in a related field is typically the minimum educational requirement for digital producer positions. A minimum of 3 years of direct experience in digital media is generally needed as well. Digital producers must also have posses great attention to detail and be able to work well under pressure. Having an in-depth knowledge of computer programs that are related to web design, video editing, and graphics is strongly preferred by most employers. Being able to communicate efficiently with clients, team managers, and team members is important as well.
This is a mentally demanding job, so being able to cope under stress is standard. It is a full time job, with overtime regularly required to meet deadlines. Since it is a computer-focused position, the ability to sit for long periods of times in front of a computer is needed.",The average pay for a Digital Producer is $20.46 per hour.,"The average pay for a Digital Producer is $66,149 per year.",US,USD,3.35,96.0,303.0,213.0,88.0
Digital Strategist,15-1080.00 - Network Systems and Data Communications Analysts,"A digital strategist generally works cooperatively with other members of a strategy team to create long-term goals and plans for their products.  This is a job for a creative and innovative thinker that understands technology and the people who use it.  Companies rely on digital strategists to determine the best direction of digital product and services, so it is important that prospective strategists have a proven track record in this line of work. This person also must have excellent interpersonal communication skills, as   the digital strategist may run meetings and lead a team dealing with digital strategy.  
This is often a fast-paced job, and the work load often depends on the requirements of the current project or projects.  When deadlines approach, it is common for this the digital strategist to have to work some nights and weekends in addition to conventional business hours.
This position requires the ability to analyze large quantities of data and identify the most important pieces of this data for the company and its digital offerings.  This includes a vast knowledge of current market trends, as well as competitors' products and services.  This person must also be able to work professionally and cooperatively with clients and coworkers to build a collaborative work environment.  Computer skills are a must, and a strong knowledge of SEO, SEM, and Microsoft applications are critical.  
Additionally, three to five years of experience in the company's industry is typically required by employers, although candidates with strong digital skills in a different field may be accepted.  A bachelor's degree in a relevant area of study is also required, and a master's degree may preferred.   
",The average pay for a Digital Strategist is $25.80 per hour.,"The average pay for a Digital Strategist is $67,899 per year.",US,USD,3.68,143.0,517.0,358.0,153.0
"Director, Computer Operations",11-3020.00 - Computer and Information Systems Managers,,,"The average pay for a Director, Computer Operations is $95,000 per year.",US,USD,4.0,1.0,3.0,2.0,1.0
"Director, Computing/Networking/Information Technology (IT) Security",11-3020.00 - Computer and Information Systems Managers,"Businesses that use computers, the Internet, and/or an intranet to communicate externally and/or internally frequently have a dedicated information technology department to oversee them. The upper-level manager who oversees this department is the director of computing, networking, and information technology (IT) security. They are primarily concerned with maintaining the security and integrity of the company’s online assets. They also establish and maintain policies and procedures related to interdepartment Internet/intranet communication. Additionally, these directors ensure that all employees adhere to these procedures to protect sensitive company data.
Additionally, the director of computing, networking, and IT security oversees all policies related to security of data the company may store in a cloud or server environment. They ensure that sensitive data is only available to authorized employees, as well as establish monitoring protocols for the IT team that allows them to identify any breaches of this security in a timely manner. For e-commerce sites, these directors establish and enforce policies related to the storage and retention of sensitive customer data. They ensure that the IT department is using best practice for encryption procedures and that any security holes are closed as quickly and thoroughly as possible. 
To work in this upper-level position, a person normally must have at least a bachelor’s degree in computer science or a related field, with some large companies favoring individuals with additional education in the field as well. Candidates for this position must possess substantial practical experience in IT security and be willing to engage in continuing education and training for themselves and their IT team. A director of IT security typically works during regular business hours in an office environment, but as a senior manager, they may be expected to be available at all hours in the event of security emergencies.","The average pay for a Director, Computing/Networking/Information Technology (IT) Security is $113 per hour.","The average pay for a Director, Computing/Networking/Information Technology (IT) Security is $152,144 per year.",US,USD,4.08,14.0,62.0,56.0,5.0
Director of Analytics,11-3020.00 - Computer and Information Systems Managers,"Directors of analytics supervise a team that provides analytical expertise for their organization. They are in charge of coordinating efforts and provide coaching to staff members in their department.  Directors of analytics spend a large portion of their time performing statistical analysis based on market knowledge and research expertise. They identify patterns based on aggregate data to find risks or opportunities, as well as make performance change recommendations. Directors of analytics create forecasts using analytical information and results, compare sets of data to optimize resource allocation, and support business development through their use of complex data. These directors must follow company procedures to reach all established goals. 
Directors of analytics ensure the quality and integrity of market research using standard industry techniques. They manage a group of trained employees that analyze large amounts of information; their team collaborate with other groups in their organization to share important information and increase company awareness of relevant data. Directors of analytics use a personal computer as one of their main tools, and they must be proficient with analytical software. They must also be familiar with word processing and spreadsheet programs to record their findings and create extensive documentation. Directors of analytics must also actively participate in training sessions and respond to employee inquiries in a timely manner. 
A bachelor's or masters degree in mathematics, statistics, operations research, or a similar field is necessary for this position. In addition, experience in a managerial capacity is required for this job. Directors of analytics must also have advanced analytical skills to help tackle organizational obstacles. They must also be highly organized professionals that pay strong attention to detail in their daily tasks.",The average pay for a Director Of Analytics is $42.02 per hour.,"The average pay for a Director Of Analytics is $134,787 per year.",US,USD,4.01,173.0,539.0,322.0,208.0
Director of Applications,11-3020.00 - Computer and Information Systems Managers,"Directors of applications work in the technology sector to develop and implement applications and data services to be used in clinical or business settings. They also devise strategies to improve business practices, choose appropriate applications, and program new solutions.
These directors may oversee developers' work on specific projects and analyses to make the best strategic decisions, so they must have management skills, impart the company's overall vision, and assign daily tasks to subordinates, information technology (IT) staff, and programmers/developers. They must also set and keep budgets for the projects they assign.
Directors of applications should have strong IT and management skills to bridge the gap between technology and solutions that affect human enterprises. At least five years of prior experience in a health care or business environment are often required for this position, and some employers also require at least three years in a leadership position.
A bachelor's degree in a relevant field and a solid understanding of the engineering process are necessary for this position, and directors of applications report to upper-level management to provide short- and long-term outlooks. They typically work during regular business hours, and some extra hours may occasionally be necessary to meet deadlines.",The average pay for a Director Of Applications is $71.66 per hour.,"The average pay for a Director Of Applications is $141,654 per year.",US,USD,3.5,19.0,71.0,45.0,25.0
Director of Information Systems,11-3020.00 - Computer and Information Systems Managers,"A director of information systems is generally responsible for the management of the information systems of the business.  This director will usually manage any projects that would be part of the information systems. These projects could include implementation of new software, new equipment installation, or any changes or upgrades in current equipment. The maintenance for equipment would also be monitored and scheduled as part of the position. This person would generally be responsible for the telecommunications of the business. This would include maintaining any data that is stored in these systems. This director would be responsible for finding and maintaining vendors for new installation and communicating to management regarding the schedules that the new installations will follow. A director of information systems would also be responsible for maintaining records of any data files that are stored on the systems. Other responsibilities include checking systems and maintaining data security on a daily basis. This director would review any purchasing, billing, budgeting, and scheduling and work with accounts payable to ensure accuracy. This will include reviewing any contracts that can be updated or re-negotiated for possibly lower fees. Job requirements include being on-call 24/7 for emergencies, but the job would mainly involve standard daytime office hours. 
A qualified applicant would possess a bachelor’s degree in information systems or a related field. Finance and accounting experience is also preferred.  Other necessary skills include excellent verbal and written communication and good organization and time management. The successful applicant must have excellent computer and information system skills and should have some supervisory experience. This job would involve some physical work, but it would be mostly mental.",The average pay for a Director Of Information Systems is $32.42 per hour.,"The average pay for a Director Of Information Systems is $107,279 per year.",US,USD,4.08,27.0,95.0,74.0,21.0
Director of Information Technology Services,11-3020.00 - Computer and Information Systems Managers,"The director of information technology services is responsible for planning, organizing, and ensuring the execution of all of the information technology functions to meet the needs and goals of the business. They work as part of an administrative team, as well as supervise the information technology staff that carries out their departmental tasks. 
Part of the daily responsibilities of directors of information technology is system management. They oversee upgrades, installations, conversions, and maintenance. They also oversee user training and help desk administration. Their staff may work on the help desk to answer questions and solve problems, as well as offer training on new software for the company. Directors of information technology are also responsible for the company’s internet technology budget. They may create the budget, or at minimum, be required to adhere to certain budgetary constraints.
Directors of information technology may also work closely with third-party vendors of technology or services. Often, they work at a business office; however, travel may be required to other business locations or vendor meetings. They typically work during regular business hours, although special projects may additional hours or that they be on call for a period of time.
Typically, the director of information technology services is required to have at minimum a bachelor’s degree in computer science, information systems, or a related field. They also are usually asked to have five or more years of experience in a technology and management position. Outstanding written and verbal skills, relevant knowledge of the business field that the company operates in, and strong analytical skills are also a plus.",The average pay for a Director Of Information Technology Services is $28.25 per hour.,"The average pay for a Director Of Information Technology Services is $126,529 per year.",US,USD,4.03,43.0,141.0,107.0,33.0
"Director of Program Management, Computer Software",11-3020.00 - Computer and Information Systems Managers,,,"The average pay for a Director Of Program Management, Computer Software is $160,250 per year.",US,USD,4.0,1.0,13.0,7.0,6.0
"Director of Program Management, Enterprise Technology Solutions",11-3020.00 - Computer and Information Systems Managers,"The director of program management for enterprise technology solutions provides goals, leadership, and direction for the enterprise project management office. They will be involved in strategic planning, resourcing, and development of software applications. The job includes defining and maintaining the standards of enterprise project management and processes. This will include project prioritization and portfolio governance. 
Main responsibilities will include working cross-functionally with others to assign and monitor project success and workload, as well as maintaining a strong business partnership and ongoing dialogue with business partners. The director of program management of enterprise technology solutions should create and maintain an integrated program portfolio and proactively lead the development and deployment of robust business solutions within the established time frame, quality standards, and financial parameters defined with internal and external customers. They should enhance the pace and productivity of development through introduction of industry best practices and modern software development lifecycle approaches. 
A bachelor's degree in computer science or related fields is desired, along with professional certifications. Several years experience in software development and management is also desired. Strong written and verbal skills and the ability to manage and work well with others and in teams is needed. Candidates should be able to maintain and use well-rounded and comprehensive knowledge of information technology, including all aspects of the applications' development life cycle, infrastructure hardware and software, product development. This position may require travel. Additional required skills include the ability to drive change in a complex, multi-location environment and the ability to meet management and company standards.",,"The average pay for a Director Of Program Management, Enterprise Technology Solutions is $142,446 per year.",US,USD,3.82,11.0,35.0,25.0,10.0
